GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
achat,tn.esprit.rh.achat.entities,Facture,93,3,0,0,11,1,19,1,19,1
achat,tn.esprit.rh.achat.entities,SecteurActivite,43,3,0,0,6,1,9,1,9,1
achat,tn.esprit.rh.achat.entities,CategorieProduit,43,3,0,0,6,1,9,1,9,1
achat,tn.esprit.rh.achat.entities,Operateur,53,3,0,0,7,1,11,1,11,1
achat,tn.esprit.rh.achat.entities,Stock.StockBuilder,74,0,0,0,1,0,8,0,8,0
achat,tn.esprit.rh.achat.entities,CategorieFournisseur,0,15,0,0,0,2,0,1,0,1
achat,tn.esprit.rh.achat.entities,DetailFournisseur,63,3,0,0,8,1,13,1,13,1
achat,tn.esprit.rh.achat.entities,Produit,93,3,0,0,11,1,19,1,19,1
achat,tn.esprit.rh.achat.entities,Reglement,63,3,0,0,8,1,13,1,13,1
achat,tn.esprit.rh.achat.entities,Stock,39,48,0,0,5,15,7,8,7,8
achat,tn.esprit.rh.achat.entities,Fournisseur,73,3,0,0,9,1,15,1,15,1
achat,tn.esprit.rh.achat.entities,DetailFacture,73,3,0,0,9,1,15,1,15,1
achat,tn.esprit.rh.achat.controllers,CategorieProduitController,24,3,0,0,6,1,5,1,5,1
achat,tn.esprit.rh.achat.controllers,OperateurController,24,3,0,0,6,1,5,1,5,1
achat,tn.esprit.rh.achat.controllers,FournisseurRestController,30,3,0,0,8,1,6,1,6,1
achat,tn.esprit.rh.achat.controllers,ReglementRestController,28,3,0,0,7,1,5,1,5,1
achat,tn.esprit.rh.achat.controllers,FactureRestController,39,3,0,0,11,1,7,1,7,1
achat,tn.esprit.rh.achat.controllers,ProduitRestController,30,3,0,0,8,1,6,1,6,1
achat,tn.esprit.rh.achat.controllers,SecteurActiviteController,24,3,0,0,6,1,5,1,5,1
achat,tn.esprit.rh.achat.controllers,StockRestController,24,3,0,0,6,1,5,1,5,1
achat,tn.esprit.rh.achat,AchatApplication,5,3,0,0,2,1,1,1,1,1
achat,tn.esprit.rh.achat.Dto,StockDto,129,0,22,0,6,0,20,0,9,0
achat,tn.esprit.rh.achat.util,SpringFoxSwaggerConfig,0,80,0,0,0,22,0,6,0,6
achat,tn.esprit.rh.achat.services,StockServiceImpl,74,100,2,2,12,23,2,8,1,7
achat,tn.esprit.rh.achat.services,SecteurActiviteServiceImpl,43,3,0,0,10,1,5,1,5,1
achat,tn.esprit.rh.achat.services,CategorieProduitServiceImpl,42,3,0,0,10,1,5,1,5,1
achat,tn.esprit.rh.achat.services,ProduitServiceImpl,90,7,2,0,18,2,7,2,6,2
achat,tn.esprit.rh.achat.services,OperateurServiceImpl,47,3,0,0,11,1,5,1,5,1
achat,tn.esprit.rh.achat.services,FactureServiceImpl,134,7,2,0,24,2,8,2,7,2
achat,tn.esprit.rh.achat.services,FournisseurServiceImpl,110,7,2,0,25,2,8,2,7,2
achat,tn.esprit.rh.achat.services,ReglementServiceImpl,31,3,0,0,6,1,5,1,5,1
